"comparison","apcs","se","ID","sex"
"forcing",0.425311197470196,0.0121040494350499,"clone","MALE"
"forcing_signed",-0.0130033397147275,-0.17379320778139,"clone","MALE"
"Kalamalka2005",2.16211511281881,0.0123034574000664,"clone","MALE"
"Kalamalka2005_signed",-0.037926254190238,-0.291826550263032,"clone","MALE"
"Kalamalka2008",1.37191114584972,0.0148876280359801,"clone","MALE"
"Kalamalka2008_signed",-0.0269030792165238,-0.263804199657805,"clone","MALE"
"Kalamalka2011",1.48341537989939,0.0127588619343178,"clone","MALE"
"Kalamalka2011_signed",-0.0631950388820827,-0.140197077326624,"clone","MALE"
"KettleRiver1997",1.78933701662794,0.0148064674214991,"clone","MALE"
"KettleRiver1997_signed",-0.023206397636597,-0.411191428489288,"clone","MALE"
"KettleRiver2001",2.35656737754686,0.0117302540754666,"clone","MALE"
"KettleRiver2001_signed",-0.0692150846020167,-0.184986369690758,"clone","MALE"
"PGTIS1999",1.75124182883858,0.0129287600294848,"clone","MALE"
"PGTIS1999_signed",-0.023866455699489,-0.374284560180972,"clone","MALE"
"PGTIS2002",1.36776193783557,0.0131778257160793,"clone","MALE"
"PGTIS2002_signed",-0.0489967270419852,-0.189484079805197,"clone","MALE"
"PGTIS2004",1.67912806452618,0.0127043015045008,"clone","MALE"
"PGTIS2004_signed",-0.051265265448026,-0.204874987898081,"clone","MALE"
"PGTIS2005",2.20553389778015,0.0119936008882325,"clone","MALE"
"PGTIS2005_signed",-0.0502393240661227,-0.232250375639625,"clone","MALE"
"PGTIS2010",1.66289254746841,0.0124851863728399,"clone","MALE"
"PGTIS2010_signed",-0.0446300164205412,-0.205092215129411,"clone","MALE"
"PRT1998",2.29619337610058,0.0128491610933926,"clone","MALE"
"PRT1998_signed",-0.0585206332911287,-0.239205790583617,"clone","MALE"
"PRT2001",1.97959883872714,0.0128917468067763,"clone","MALE"
"PRT2001_signed",-0.0430166886250604,-0.235331043923458,"clone","MALE"
"PRT2007",2.37306164310171,0.0126758060896683,"clone","MALE"
"PRT2007_signed",-0.0429800803731017,-0.312614221249447,"clone","MALE"
"PRT2008",1.1623933867516,0.0134731482913617,"clone","MALE"
"PRT2008_signed",-0.0320896513274553,-0.193453608180556,"clone","MALE"
"Sorrento2001",1.68694746108943,0.0134092075490981,"clone","MALE"
"Sorrento2001_signed",-0.0614164250214924,-0.156555388241291,"clone","MALE"
"Sorrento2006",2.00866482947312,0.0121463708265092,"clone","MALE"
"Sorrento2006_signed",-0.0240025600939426,-0.430638096372704,"clone","MALE"
"Tolko2000",1.80583559057301,0.0126339984564767,"clone","MALE"
"Tolko2000_signed",-0.0350598366181881,-0.287894409799138,"clone","MALE"
"Tolko2005",1.95236126108762,0.0128896274672137,"clone","MALE"
"Tolko2005_signed",-0.0461553267274994,-0.230679869493575,"clone","MALE"
"Vernon2000",1.67243628117941,0.0133150502356251,"clone","MALE"
"Vernon2000_signed",-0.0603434227279907,-0.157137287481673,"clone","MALE"
"Vernon2007",2.44156990477853,0.0135428498457073,"clone","MALE"
"Vernon2007_signed",-0.0435772174934284,-0.286568994903718,"clone","MALE"
"forcing",0.181584346196291,0.0754848272144523,"prov","MALE"
"forcing_signed",-0.0187530291951111,-0.25953692883984,"prov","MALE"
"Kalamalka2005",0.909494065664644,0.0751609213404635,"prov","MALE"
"Kalamalka2005_signed",-0.0832070716943924,-0.243436241580311,"prov","MALE"
"Kalamalka2008",0.553552739141716,0.0774221029886394,"prov","MALE"
"Kalamalka2008_signed",-0.038173861445261,-0.376908086828244,"prov","MALE"
"Kalamalka2011",0.627947558919605,0.0772086659026759,"prov","MALE"
"Kalamalka2011_signed",-0.0651958504661445,-0.314853154727594,"prov","MALE"
"KettleRiver1997",0.712925957201939,0.0772958034134501,"prov","MALE"
"KettleRiver1997_signed",-0.0424130645057336,-0.378068562785865,"prov","MALE"
"KettleRiver2001",1.00761943588854,0.0752456154647928,"prov","MALE"
"KettleRiver2001_signed",-0.106468973685587,-0.230621061416383,"prov","MALE"
"PGTIS1999",0.724889103637951,0.0755533861301713,"prov","MALE"
"PGTIS1999_signed",-0.0591493028941149,-0.263526510372456,"prov","MALE"
"PGTIS2002",0.604467636167742,0.0763640431388292,"prov","MALE"
"PGTIS2002_signed",-0.0738790863551978,-0.246783827283742,"prov","MALE"
"PGTIS2004",0.7460780334798,0.0742870175498404,"prov","MALE"
"PGTIS2004_signed",-0.0919630640117285,-0.211473991341763,"prov","MALE"
"PGTIS2005",0.945378868344359,0.0749588278949577,"prov","MALE"
"PGTIS2005_signed",-0.0984924760360108,-0.22422406031499,"prov","MALE"
"PGTIS2010",0.709522341001503,0.0758381551325634,"prov","MALE"
"PGTIS2010_signed",-0.0708612693490059,-0.259216185157645,"prov","MALE"
"PRT1998",1.01720126062034,0.07435860808048,"prov","MALE"
"PRT1998_signed",-0.123270688090803,-0.20170310231882,"prov","MALE"
"PRT2001",0.814843716019787,0.0764834525429522,"prov","MALE"
"PRT2001_signed",-0.0655707714888457,-0.298051024345807,"prov","MALE"
"PRT2007",1.02003040773499,0.0744154728311822,"prov","MALE"
"PRT2007_signed",-0.104818340113144,-0.211512469507928,"prov","MALE"
"PRT2008",0.484797830909129,0.0769587019896089,"prov","MALE"
"PRT2008_signed",-0.0439280040177676,-0.30426209699622,"prov","MALE"
"Sorrento2001",0.722471663219449,0.0767865684416846,"prov","MALE"
"Sorrento2001_signed",-0.0763065975767821,-0.292377641963429,"prov","MALE"
"Sorrento2006",0.856670247503431,0.0743875711889765,"prov","MALE"
"Sorrento2006_signed",-0.0838511458581341,-0.203121849170621,"prov","MALE"
"Tolko2000",0.773948540870939,0.0745007831409884,"prov","MALE"
"Tolko2000_signed",-0.0802434371066426,-0.220663446500592,"prov","MALE"
"Tolko2005",0.804305709942227,0.0760575320046711,"prov","MALE"
"Tolko2005_signed",-0.0673106080075846,-0.284717524345653,"prov","MALE"
"Vernon2000",0.694389215845296,0.0775542734350579,"prov","MALE"
"Vernon2000_signed",-0.0638403632494819,-0.323786174416773,"prov","MALE"
"Vernon2007",0.997004477907545,0.0764533643238147,"prov","MALE"
"Vernon2007_signed",-0.0751763339262045,-0.307774005382901,"prov","MALE"
"forcing",0.121325232181501,0.103461253090377,"site","MALE"
"forcing_signed",-0.00144917395909095,-3.08220292753456,"site","MALE"
"Kalamalka2005",0.561517294669874,0.100699185978035,"site","MALE"
"Kalamalka2005_signed",-0.0111474413087385,-1.64111284712985,"site","MALE"
"Kalamalka2008",0.344630550251076,0.102097992495591,"site","MALE"
"Kalamalka2008_signed",-0.0255639315033171,-0.50269695723524,"site","MALE"
"Kalamalka2011",0.447691406824066,0.106290986090045,"site","MALE"
"Kalamalka2011_signed",-0.0144716725459075,-1.31652262131306,"site","MALE"
"KettleRiver1997",0.411652246138688,0.100003158330911,"site","MALE"
"KettleRiver1997_signed",-0.037240543645058,-0.390581220530245,"site","MALE"
"KettleRiver2001",0.651229337976883,0.102078013044099,"site","MALE"
"KettleRiver2001_signed",-0.001900374549013,-12.1598772503198,"site","MALE"
"PGTIS1999",0.429606337451566,0.10018993548968,"site","MALE"
"PGTIS1999_signed",-0.0178537168448861,-0.785947390513244,"site","MALE"
"PGTIS2002",0.439562689452342,0.10614503840466,"site","MALE"
"PGTIS2002_signed",0.0163652784730062,1.09092693872575,"site","MALE"
"PGTIS2004",0.50265539592885,0.10420442358385,"site","MALE"
"PGTIS2004_signed",0.0179984792200802,1.03476303836767,"site","MALE"
"PGTIS2005",0.588033723657509,0.100958143273335,"site","MALE"
"PGTIS2005_signed",-0.00400952355122208,-4.86060625740381,"site","MALE"
"PGTIS2010",0.466546630952148,0.103474724451045,"site","MALE"
"PGTIS2010_signed",-0.00551214652775855,-3.09550081866258,"site","MALE"
"PRT1998",0.679985119127094,0.103875026892522,"site","MALE"
"PRT1998_signed",0.0239458264555122,0.999813729235174,"site","MALE"
"PRT2001",0.504085630677662,0.10165765046783,"site","MALE"
"PRT2001_signed",-0.0251642556983118,-0.70354383985403,"site","MALE"
"PRT2007",0.655857054564452,0.102401120743234,"site","MALE"
"PRT2007_signed",0.0104792982351198,2.0786029729994,"site","MALE"
"PRT2008",0.319619698940536,0.103570321666414,"site","MALE"
"PRT2008_signed",-0.0120763750000608,-0.993501810992961,"site","MALE"
"Sorrento2001",0.51307877968138,0.105988481091881,"site","MALE"
"Sorrento2001_signed",-0.00639874381624559,-3.23669788650333,"site","MALE"
